image_index;index;phi1;Phi;phi2;slip_sys_no;slip_name;devang;point1_x;point1_y;point2_y;point2_y
1.1_1;9;68.2279748546365;149.964433693178;42.9648617478269;4;112;3.51570036055793;501.5;826.5;541.5;787.5
1.1_1;9;68.2279748546365;149.964433693178;42.9648617478269;5;115;0.202450911997654;501.5;826.5;541.5;787.5
1.1_1;10;68.2279748546365;149.964433693178;42.9648617478269;3;110;0.901167626403892;745.5;730.5;847.5;709.5
1.1_1;11;68.2279748546365;149.964433693178;42.9648617478269;3;110;1.79634133661488;749.5;666.5;848.5;644.5
1.1_1;11;68.2279748546365;149.964433693178;42.9648617478269;4;112;4.42868698211644;749.5;666.5;848.5;644.5
1.1_1;12;68.2279748546365;149.964433693178;42.9648617478269;3;110;2.69856249814503;757.5;786.5;824.5;770.5
1.1_1;12;68.2279748546365;149.964433693178;42.9648617478269;4;112;3.52646582058626;757.5;786.5;824.5;770.5
1.1_1;13;68.2279748546365;149.964433693178;42.9648617478269;3;110;4.15602640128264;819.5;442.5;903.5;516.5
1.1_1;13;68.2279748546365;149.964433693178;42.9648617478269;4;112;1.89178457194682;819.5;442.5;903.5;516.5
1.1_1;13;68.2279748546365;149.964433693178;42.9648617478269;5;115;2.184250445058;819.5;442.5;903.5;516.5
1.1_1;14;68.2279748546365;149.964433693178;42.9648617478269;2;100;1.2698675367657;870.5;594.5;841.5;643.5
1.1_1;14;68.2279748546365;149.964433693178;42.9648617478269;4;112;3.48973959085044;870.5;594.5;841.5;643.5
1.1_1;14;68.2279748546365;149.964433693178;42.9648617478269;5;115;4.62352297888082;870.5;594.5;841.5;643.5
1.1_1;15;68.2279748546365;149.964433693178;42.9648617478269;2;100;2.65664533593995;884.5;643.5;844.5;707.5
1.1_1;15;68.2279748546365;149.964433693178;42.9648617478269;4;112;2.10296179167635;884.5;643.5;844.5;707.5
1.1_1;15;68.2279748546365;149.964433693178;42.9648617478269;5;115;3.23674517970671;884.5;643.5;844.5;707.5
