folder;file;point1_x;point1_y;point2_x;point2_y
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;503.5;716.5;574.5;742.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;496.5;667.5;510.5;721.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;569.5;743.5;574.5;742.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;579.5;741.5;603.5;737.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;807.5;627.5;867.5;618.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;934.5;673.5;906.5;719.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;864.5;717.5;916.5;712.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;826.5;748.5;840.5;754.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;820.5;394.5;860.5;434.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;856.5;427.5;829.5;483.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;828.5;480.5;865.5;523.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;821.5;565.5;866.5;558.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;866.5;440.5;978.5;535.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;968.5;522.5;981.5;577.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;940.5;669.5;1038.5;657.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.2_7;1003.5;612.5;1045.5;654.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;78.5;350.5;178.5;386.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;316.5;532.5;279.5;705.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;331.5;727.5;528.5;784.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;608.5;795.5;648.5;784.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;833.5;687.5;786.5;735.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;841.5;726.5;831.5;761.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;839.5;688.5;953.5;674.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;899.5;676.5;887.5;717.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;870.5;724.5;879.5;716.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;889.5;706.5;894.5;702.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;918.5;679.5;924.5;674.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;842.5;408.5;995.5;523.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;840.5;571.5;996.5;520.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;1041.5;413.5;983.5;527.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;887.5;353.5;920.5;387.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;918.5;379.5;910.5;397.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;994.5;600.5;946.5;664.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.3_8;1020.5;549.5;999.5;593.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;344.5;564.5;341.5;646.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;341.5;638.5;407.5;639.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;423.5;748.5;463.5;721.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;403.5;726.5;427.5;750.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;415.5;742.5;421.5;743.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;429.5;743.5;437.5;743.5
